num	mean	min	q25	q50	q75	max
1	29	2	26	32	36	40
2	35	2	33	36	39	41
3	35	2	34	35	39	41
4	28	2	26	30	34	37
5	36	2	35	38	40	41
6	37	33	35	38	40	41
7	32	2	30	35	36	40
8	34	2	33	34	40	40
9	37	29	36	38	40	41
10	35	20	34	35	37	41
11	37	2	35	39	41	41
12	39	31	39	41	41	41
13	23	2	2	33	37	40
14	38	34	35	39	41	41
15	28	2	25	32	35	40
16	37	2	35	39	41	41
17	35	20	33	36	38	40
18	37	30	35	37	41	41
19	30	2	27	32	38	40
20	36	2	35	37	41	41
21	30	8	27	33	35	40
22	36	30	35	35	39	41
23	35	2	32	38	41	41
24	37	30	35	39	41	41
25	38	2	37	40	41	41
26	37	25	35	39	41	41
27	36	2	34	36	40	41
28	36	21	34	37	39	40
29	36	2	35	36	40	41
30	37	2	36	39	40	41
31	38	32	36	39	41	41
32	38	30	37	40	41	41
33	38	2	36	40	41	41
34	37	2	36	39	41	41
35	32	2	33	35	39	41
36	35	2	34	35	40	41
37	36	2	35	38	41	41
38	37	20	35	39	41	41
39	35	2	34	35	40	41
40	35	21	34	36	39	41
41	24	2	2	31	38	41
42	38	34	35	39	41	41
43	38	2	37	40	41	41
44	28	2	27	35	37	41
45	35	2	34	37	39	40
46	33	18	31	34	38	41
47	32	2	30	34	38	40
48	38	29	37	39	41	41
49	37	2	35	38	40	41
50	38	18	36	39	41	41
51	35	2	35	35	35	41
52	34	15	34	35	35	41
53	37	2	35	39	40	41
54	35	28	34	35	38	41
55	37	2	36	39	41	41
56	36	20	35	36	40	41
57	31	2	30	34	38	40
58	35	23	33	35	39	41
59	36	2	35	37	40	41
60	35	13	34	35	40	41
61	26	2	20	30	35	40
62	37	33	35	37	41	41
63	37	2	35	39	41	41
64	33	7	31	35	37	41
65	37	2	37	40	41	41
66	37	2	35	38	40	41
67	35	20	33	36	38	40
68	37	2	35	40	41	41
69	35	2	34	38	39	41
70	35	2	35	38	40	41
71	37	19	35	38	40	41
72	37	2	35	39	41	41
73	34	23	33	34	38	40
74	34	2	33	35	39	41
75	37	25	36	38	39	41
76	38	29	36	39	41	41
77	35	2	34	35	39	41
78	22	2	2	30	34	38
79	37	2	35	38	41	41
80	34	18	33	35	39	41
81	35	2	33	37	39	40
82	39	34	38	40	41	41
83	37	2	35	39	40	41
84	38	32	35	39	41	41
85	36	29	35	35	39	41
86	38	2	37	40	41	41
87	35	27	35	35	39	41
88	28	2	25	32	35	39
89	37	2	35	40	41	41
90	35	24	33	35	39	40
91	38	2	37	40	41	41
92	35	20	34	35	38	41
93	36	2	35	38	40	40
94	32	7	31	33	37	40
95	24	2	2	34	37	40
96	34	25	34	35	35	41
97	36	2	35	38	40	41
98	39	32	38	40	41	41
99	36	2	35	37	39	41
100	37	18	35	38	40	41
101	32	2	30	33	37	40
102	35	25	35	35	38	41
